name,level,industry,capability_domain,sources,original_names
actuarial_model,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,actuarial_model
agent_browser,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent|DeltaAgent,agent-browser
agile_product_owner,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,agile-product-owner
ai_contract_review_cn,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,ai-contract-review-cn
alm,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,alm
aml_rating,L2,financial,C05_风险合规安全,AlphaAgent,aml_rating
api_test_automation,L0,universal,C07_客户营销服务渠道,AlphaAgent|BetaAgent,api-test-automation
application_material_checker,L2,transferable,C01_信息提取与结构化,AlphaAgent|BetaAgent,application-material-checker
arkclaw_automation_os,L3,universal,C09_集成连接器,EpsilonAgent,arkclaw-automation-os
arkclaw_team_project_builder,L2,transferable,C06_流程编排路由,AlphaAgent|BetaAgent,arkclaw-team-project-builder
audit_sampling,L2,universal,C10_沉淀归档治理,AlphaAgent|BetaAgent,audit_sampling|audit-sampling
block_trade,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,block_trade
branch_analysis,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,branch_analysis
browser,L0,universal,C09_集成连接器,AlphaAgent,browser
browser_use,L1,universal,C09_集成连接器,EpsilonAgent,browser-use
budget_control,L2,universal,C03_数据分析与洞察,AlphaAgent,budget_control
byted_seedance_video_generate,L1,transferable,C04_报告文档生成,AlphaAgent|BetaAgent,byted-seedance-video-generate
byted_seedream_image_generate,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,byted-seedream-image-generate
byted_teamproject_image_generate,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,byted-teamproject-image-generate
byted_teamproject_video_generate,L1,transferable,C04_报告文档生成,AlphaAgent|BetaAgent,byted-teamproject-video-generate
byted_text_to_speech,L0,universal,C09_集成连接器,AlphaAgent|BetaAgent,byted-text-to-speech
byted_web_search,L0,universal,C06_流程编排路由,AlphaAgent|BetaAgent|EpsilonAgent,byted-web-search
cash_management,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,cash_management
cashflow_forecast,L2,transferable,C03_数据分析与洞察,AlphaAgent,cashflow_forecast
churn_early_warning,L4,financial,C07_客户营销服务渠道,EpsilonAgent,churn-early-warning
churn_recall,L2,financial,C07_客户营销服务渠道,AlphaAgent|BetaAgent,churn_recall|churn-recall
claim_analysis,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,claim_analysis
claim_review_v2,L2,financial,C05_风险合规安全,AlphaAgent,claim_review_v2
clawlink_workflow,L1,universal,C07_客户营销服务渠道,DeltaAgent,clawlink-workflow
clean_pytest,L0,universal,C09_集成连接器,AlphaAgent|BetaAgent,clean-pytest
cloudstudio_deploy,L1,universal,C09_集成连接器,DeltaAgent,cloudstudio-deploy
code_review_skill,L2,universal,C03_数据分析与洞察,AlphaAgent,code_review_skill
code_reviewer,L1,general,C09_集成连接器,BetaAgent,code_reviewer
collateral_valuation,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,collateral_valuation|collateral-valuation
collection_optimize,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,collection_optimize|collection-optimize
compliance_auto,L2,financial,C05_风险合规安全,AlphaAgent|BetaAgent,compliance-auto|compliance_auto
compliance_training,L2,financial,C05_风险合规安全,AlphaAgent,compliance_training
computer_use,L0,universal,C09_集成连接器,AlphaAgent|EpsilonAgent,computer-use
content_creator_cn,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,content-creator-cn
content_strategy,L2,universal,C09_集成连接器,AlphaAgent|BetaAgent,content-strategy
contract_review,L2,universal,C03_数据分析与洞察,AlphaAgent|BetaAgent,contract_review|contract-review
copywriter,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,copywriter
corp_account_opening,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,corp_account_opening
credit_approval,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,credit_approval
credit_collection,L2,financial,C03_数据分析与洞察,AlphaAgent,credit_collection
cron_scheduling,L1,universal,C09_集成连接器,DeltaAgent,cron-scheduling
cross_border_biz,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,cross_border_biz
cross_channel_router,L2,universal,C07_消息通知与协同,BetaAgent,cross_channel_router
customer_health,L2,universal,C07_客户营销服务渠道,AlphaAgent|BetaAgent,customer_health|customer-health
customer_marketing,L2,universal,C07_客户营销服务渠道,AlphaAgent|BetaAgent,customer-marketing
customer_persona,L2,universal,C07_客户营销服务渠道,AlphaAgent|BetaAgent,customer-persona
cyber_owasp_review,L1,universal,C05_风险合规安全,AlphaAgent|BetaAgent,cyber-owasp-review
data_analysis_skill,L0,universal,C03_数据分析与洞察,AlphaAgent|BetaAgent,data-analysis-skill
dca_calculator,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,dca_calculator
deep_research_engine,L2,universal,C09_集成连接器,EpsilonAgent,deep-research-engine
didi_ride_skill,L1,universal,C07_客户营销服务渠道,DeltaAgent,didi-ride-skill
docx,L1,universal,C04_报告文档生成,DeltaAgent,docx
douyin_creator_cn,L2,transferable,C03_数据分析与洞察,AlphaAgent|BetaAgent,douyin-creator-cn
due_diligence_data_fetcher,L1,general,C09_集成连接器,BetaAgent,due_diligence_data_fetcher
edge_tts,L0,universal,C09_集成连接器,AlphaAgent|BetaAgent,edge-tts
email_daily_summary,L2,universal,C09_集成连接器,DeltaAgent,email-daily-summary
enterprise_due_diligence,L1,transferable,C01_信息提取与结构化,AlphaAgent|BetaAgent,enterprise-due-diligence
esg_research,L2,financial,C02_知识检索与RAG,AlphaAgent|BetaAgent,esg_research
excalidraw_diagram,L1,universal,C04_报告文档生成,DeltaAgent,excalidraw-diagram
excel,L1,universal,C04_报告文档生成,DeltaAgent,excel
expense_audit,L2,universal,C05_风险合规安全,AlphaAgent,expense_audit
expert_manager,L1,universal,C09_集成连接器,DeltaAgent,expert-manager
family_trust,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,family-trust|family_trust
feishu_cloud_drive,L0,universal,C09_集成连接器,AlphaAgent|BetaAgent,Feishu-Cloud-Drive|Feishu Cloud Drive
feishu_doc,L1,universal,C09_集成连接器,EpsilonAgent,feishu-doc
feishu_doc_manager,L0,universal,C09_集成连接器,AlphaAgent,feishu-doc-manager
feishu_document_suite,L2,universal,C04_报告文档生成,EpsilonAgent,feishu-document-suite
feishu_drive,L1,universal,C09_集成连接器,EpsilonAgent,feishu-drive
feishu_publisher,L1,general,C09_集成连接器,BetaAgent,feishu_publisher
feishu_wiki,L0,universal,C09_集成连接器,AlphaAgent|EpsilonAgent,feishu-wiki
finance_advisor,L2,financial,C03_数据分析与洞察,DeltaAgent,finance-advisor
financial_extract,L2,universal,C01_信息提取与结构化,AlphaAgent,financial_extract
financial_intelligence,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,financial_intelligence|financial-intelligence
find_skills,L1,universal,C02_知识检索与RAG,AlphaAgent|BetaAgent|DeltaAgent,find-skills
fixed_income_plus,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,fixed_income_plus
fof_portfolio,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,fof_portfolio
fraud_alert,L2,financial,C05_风险合规安全,AlphaAgent,fraud_alert
fraud_detection,L2,financial,C05_风险合规安全,AlphaAgent|BetaAgent,fraud_detection
frontend_design,L1,universal,C03_数据分析与洞察,AlphaAgent|BetaAgent,frontend-design
frontend_dev,L2,universal,C04_报告文档生成,DeltaAgent,frontend-dev
